rank,collection_id,collection_name,movie_count,total_revenue,median_vote_average,earliest_release,latest_release
1,1241,Harry Potter Collection,8,7707367425,7.5,2001-11-16,2011-07-07
2,10,Star Wars Collection,8,7434494790,7.45,1977-05-25,2016-12-14
3,645,James Bond Collection,26,7106970239,6.3,1962-10-04,2015-10-26
4,9485,The Fast and the Furious Collection,8,5125098793,6.65,2001-06-22,2017-04-12
5,295,Pirates of the Caribbean Collection,5,4521576826,6.9,2003-07-09,2017-05-23
6,8650,Transformers Collection,5,4366101244,6.1,2007-06-27,2017-06-21
7,86066,Despicable Me Collection,6,3691070216,6.9,2010-07-08,2017-06-15
8,33514,The Twilight Collection,5,3342107290,5.8,2008-11-20,2012-11-13
9,8354,Ice Age Collection,5,3216708553,6.5,2002-03-10,2016-06-23
10,328,Jurassic Park Collection,4,3031484143,6.35,1993-06-11,2015-06-09
