decade_num,decade_label,avg_female_prop,movie_count_with_gender,movie_count_all
1870.0,1870s,1.0,1,2
2020.0,2020s,0.8,1,1
1890.0,1890s,0.5,2,72
1900.0,1900s,0.4444444444444444,12,86
2010.0,2010s,0.3765003720599178,10303,12481
1930.0,1930s,0.3653558052434457,1246,1312
2000.0,2000s,0.3608529183428612,9446,10918
1940.0,1940s,0.3596090823970038,1424,1481
1990.0,1990s,0.33828454641350214,5056,5533
1950.0,1950s,0.3370843989769821,1955,2030
1910.0,1910s,0.3369212962962963,144,176
1920.0,1920s,0.332171581769437,373,430
1960.0,1960s,0.32568259385665527,2344,2562
1980.0,1980s,0.320523138832998,3479,3837
1970.0,1970s,0.31206952566601687,3078,3393
1880.0,1880s,,0,4
